activity_matched_words,name,activities,latest_income,region,district,website,dk_priority,cause_ids,causes
internet,North West Life Education Limited,"Education Services on Healthy Lifestyle Choices, transition from Primary to Secondary school and internet safety - working in Primary and Secondary Schools, Colleges and Academies",156517.0,North West,Oldham,www.coramlifeeducation.org.uk,0,"[102, 103]","['Education/training', 'The advancement of health or saving of lives']"
comput,Reuse Network Ltd.,"The FRN is the umbrella group for organisations involved in the relief of poverty through the re-use of items such as furniture, computers, white goods, bicycles, starter packs for homeless people etc.  We work to increase goods available, raise the number of beneficiaries and support organisations to manage and develop.  We lobby to ensure that legislation and funding benefits the sector.",379508.0,South West,"Bristol, City of",www.frn.org.uk,1,"[102, 105, 112, 113]","['Education/training', 'The prevention or relief of poverty', 'Environment/conservation/heritage', 'Economic/community development/employment']"
technolog,Grow Peace,"Promoting education and welfare in rural communities in South Africa. Providing youth centres for children in education, promoting self esteem by sports activities, providing education about health, nutrition, alchohol abuse. Promoting sustainable development in rural communities with green technologies.
Assisting with care of abused and neglected children.",154532.0,East of England,Ipswich,www.goedgedacht.org,1,"[113, 105, 102, 106, 107]","['Economic/community development/employment', 'The prevention or relief of poverty', 'Education/training', 'Overseas aid/famine relief', 'Accommodation/housing']"
optimis,Different Strokes (Trustees) Limited,"To help stroke survivors of below retirement age optimise their recovery & take control of their lives by offering rehabilitative services, information & advice.",351820.0,South East,Milton Keynes,www.differentstrokes.co.uk,1,"[103, 104]","['The advancement of health or saving of lives', 'Disability']"
data,Buglife The Invertebrate Conservation Trust,"We aim to conserve invertebrates and their habitats, with current emphasis on surveys to assess the status of species in specific habitat-types, such as brownfields, soft rock cliffs and freshwater. Dissemination of our survey data, public education and the raising of awareness of the need to conserve invertebrates are also key activities.  We also work to protect sites of special importance.",1572352.0,East of England,Peterborough,www.buglife.org.uk,0,"[102, 112]","['Education/training', 'Environment/conservation/heritage']"
technolog,Paper Industry Technical Association,"Dissemination of information and research to benefit the Paper Industry at large, the general public (especially younger people) through training courses, seminars, conferences and journal entitled Paper Technology.",135987.0,North West,Bury,www.pita.co.uk,0,"[112, 102]","['Environment/conservation/heritage', 'Education/training']"
platform,Wath - Upon - Dearne Community Partnership,The Community Partnership is quite busy and still woring towards improving the quality of life in our community. The Partnership support local groups who use our community hall and we use it for our quarterly open meetings that give a platform for all local groups along with training and events. We hold a very well attended town gala annually which is always a great success.,140922.0,Yorkshire and The Humber,Rotherham,,1,"[113, 109, 102, 105]","['Economic/community development/employment', 'Arts/culture/heritage/science', 'Education/training', 'The prevention or relief of poverty']"
social enterpris,The Moss Side And Hulme Community Development Trust,"The Trust is a Social Enterprise and works with local people to improve their employability and enhance their quality of life. It has a UK Online Centre and runs various free training courses and projects as well as providing Information, Advice and Guidance. The Trust supports and works with local community organisations and businesses in furtherance of its aims and objectives.",214520.0,North West,Trafford,,0,"[102, 113]","['Education/training', 'Economic/community development/employment']"
analysi,Group Analysis North,To develop the theroy and practice of group analysis.  The Organisation develops and provides training in group analysis and supports the provision of group analysis to the general public.,174224.0,North West,Bolton,www.groupanalysisnorth.com,0,"[103, 102]","['The advancement of health or saving of lives', 'Education/training']"
technolog,Excellent Development Limited,"Excellent Development supports rural dryland communities to work their way out of poverty with dignity. Working with local partners, we support rural communities to gain access to clean water close to their homes and to invest in climate-smart agriculture. In pioneering sand dams we promote and support the application of sand dam technology by key stakeholders in drylands.",1143573.0,London,Lambeth,www.excellent.org.uk,1,"[112, 105, 106, 113]","['Environment/conservation/heritage', 'The prevention or relief of poverty', 'Overseas aid/famine relief', 'Economic/community development/employment']"
